parameter_name,Head coat/hair presence
parameter_id,MGP_CSD_015_001
mouse_life_stage,Early adult
analysis_id,f375bi95wbt3v4l
gene_accession_id,MGI:1919107
mouse_strain,C57BL
pvalue,0.7919498
gene_symbol,Slc17a9
