gene_symbol,Fpgs
parameter_id,IMPC_CSD_079_001
analysis_id,1ceknn7i6ro5133
mouse_life_stage,Early adult
parameter_name,Aggression
pvalue,0.7932124
mouse_strain,C57BL
gene_accession_id,MGI:95576
