parameter_name,Dark side time spent
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
pvalue,0.22696
mouse_strain,C57BL
analysis_id,yvt91sg15usw32w
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
