analysis_id,9hrk7ja1wswct20
pvalue,0.1076143
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
gene_symbol,Pld1
mouse_life_stage,Early adult
parameter_name,Lower teeth appearance
