gene_symbol,Orc2
analysis_id,7xiepv0w4gj49qg
pvalue,0.4467947
mouse_strain,C57BL
gene_accession_id,MGI:1328306
parameter_id,IMPC_OFD_012_001
mouse_life_stage,E9.5
parameter_name,Periphery permanence time
