gene_symbol,Ift74
parameter_id,IMPC_ABR_006_001
mouse_strain,C57BL
analysis_id,m4j1v7519d42oa4
gene_accession_id,MGI:1914944
pvalue,0.929841
parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
