gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
analysis_id,79zfx1qf5kixo0h
pvalue,1.017418
parameter_name,Eye
parameter_id,M-G-P_013_001_001
