parameter_id,MGP_BMI_006_001
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
analysis_id,dj92g23ylc872d5
gene_symbol,Ntmt2
mouse_strain,C57BL
gene_accession_id,MGI:2685053
pvalue,0.6129512
