gene_symbol,Trp53rkb
pvalue,0.2849164
parameter_name,Thoracic processes
analysis_id,84dg23hu07v6ycx
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
