parameter_name,Tongue out
pvalue,0.8645834
analysis_id,8dz3zw79j144n30
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,IMPC_GEP_083_001
