gene_symbol,Rufy4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Center average speed
parameter_id,IMPC_OFD_017_001
pvalue,0.3416167
gene_accession_id,MGI:3588214
analysis_id,0b8215vbra00s10
