gene_symbol,Zc2hc1a
analysis_id,87d4a863575e65y
gene_accession_id,MGI:1914556
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.5091737
mouse_strain,C57BL
parameter_id,MGP_IMM_079_001
mouse_life_stage,Early adult
