gene_symbol,Pum1
parameter_name,Heart weight
analysis_id,mt10l02u1b8782f
pvalue,0.8798726
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
