parameter_name,Narrow eye opening
gene_accession_id,MGI:3650254
parameter_id,IMPC_EYE_006_001
analysis_id,p84z451t5hhk9wq
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3400307
gene_symbol,Zfp683
