parameter_id,IMPC_DXA_003_001
gene_accession_id,MGI:1345282
pvalue,0.9590339
mouse_life_stage,Late adult
parameter_name,Lean mass
analysis_id,35019f4gnwznm0d
gene_symbol,Slc30a4
mouse_strain,C57BL
