analysis_id,5w4l9mpzywl7tq7
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
gene_symbol,Atrn
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
pvalue,0.1736618
