parameter_id,HRWLLA_CBC_014_001
pvalue,0.2050869
gene_symbol,Cpa3
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:88479
analysis_id,09evs74rv86mjw6
mouse_strain,C57BL
mouse_life_stage,Early adult
