parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:2443129
analysis_id,40045es0of9hum9
pvalue,0.4935843
gene_symbol,Golm2
mouse_life_stage,Early adult
mouse_strain,C57BL
