analysis_id,ccb30xc2f1ubn93
gene_symbol,Kif24
parameter_name,Eosinophils
parameter_id,IMPC_IMM_052_001
mouse_life_stage,Early adult
pvalue,0.6019471
gene_accession_id,MGI:1918345
mouse_strain,C57BL
