parameter_name,Periphery resting time
mouse_strain,C57BL
parameter_id,ESLIM_007_001_007
gene_symbol,Bmi1
pvalue,0.6731372
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
analysis_id,b839194bz246424
