analysis_id,1ihi0ap5tr4499o
parameter_id,IMPC_OFD_020_001
gene_symbol,Frmpd1
pvalue,0.1397971
parameter_name,Distance travelled - total
gene_accession_id,MGI:2446274
mouse_strain,C57BL
mouse_life_stage,Late adult
