gene_symbol,Rab3gap2
analysis_id,6mm64q9q7110553
parameter_id,M-G-P_009_001_003
parameter_name,Body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.332935
gene_accession_id,MGI:1916043
