gene_symbol,Kdm5b
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
pvalue,0.612753
parameter_id,MGP_CSD_025_001
analysis_id,twn86pkn8pqt6sh
