analysis_id,l97eu77l1jf630c
mouse_strain,C57BL
parameter_id,MGP_IMM_036_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.6211962
gene_symbol,Golm2
gene_accession_id,MGI:2443129
