analysis_id,b3vl15l229k2cu3
parameter_id,IMPC_XRY_001_001
mouse_strain,C57BL
pvalue,0.6925699
parameter_name,Skull shape
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
gene_symbol,Mgst2
