gene_symbol,Kif24
parameter_id,IMPC_FEA_003_001
pvalue,0.6983844
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Conditioning Baseline % Freezing Time
analysis_id,tljiapp3y2639f3
gene_accession_id,MGI:1918345
