parameter_name,Basophil cell count
mouse_life_stage,Early adult
gene_symbol,Morn5
analysis_id,d667s20t3171h0f
pvalue,0.6353034
gene_accession_id,MGI:1922745
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
