analysis_id,r0q7lk2s2098bbd
parameter_id,HRWLLA_OFD_013_001
pvalue,0.5919044
gene_symbol,Zmynd19
mouse_strain,C57BL
parameter_name,Periphery average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
