gene_symbol,Eprs1
parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.8495708
analysis_id,258pk11563u58pb
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
mouse_strain,C57BL
