parameter_name,Weight
analysis_id,ms5qbd5u724be21
gene_symbol,Fgb
mouse_life_stage,E15.5
pvalue,0.9980275
mouse_strain,C57BL
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:99501
