parameter_name,Retinal Blood Vessels Structure
mouse_life_stage,Late adult
parameter_id,IMPC_EYE_025_001
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_strain,C57BL
analysis_id,vkw14aj438485mw
pvalue,0.7341536
