gene_symbol,Pld1
analysis_id,t2z55dx5vfk6v4v
pvalue,0.5219221
parameter_name,HRV
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
