analysis_id,63q2dk2m653429b
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
pvalue,0.4320586
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
parameter_name,Startle response
mouse_strain,C57BL
