gene_symbol,Opn3
parameter_id,ESLIM_011_001_007
gene_accession_id,MGI:1338022
mouse_strain,C57BL
pvalue,0.8035003
mouse_life_stage,Early adult
analysis_id,016c3p00pnob0f6
parameter_name,PP1 + pulse startle magnitude
