parameter_name,Albumin
pvalue,0.7794684
gene_accession_id,MGI:1916220
mouse_strain,C51BL
mouse_life_stage,Early adult
gene_symbol,Dcaf12
parameter_id,IMPC_CBC_007_001
analysis_id,ms3b6r57p37sz24
