analysis_id,1lgb70vu5y56gd4
mouse_strain,C57BL
pvalue,0.9117397
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
parameter_id,IMPC_EYE_008_001
parameter_name,Corneal opacity
