analysis_id,v0fay4v6n64z6cu
parameter_id,MGP_IMM_007_001
pvalue,0.1369224
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
