analysis_id,88a4983a9o4r7sr
parameter_name,Large Unstained Cell (LUC) count
parameter_id,IMPC_HEM_039_001
mouse_strain,C57BL
gene_accession_id,MGI:107566
pvalue,0.1615755
gene_symbol,Kifap3
mouse_life_stage,Early adult
