parameter_id,IMPC_ECH_018_001
analysis_id,k47323xeu1p0998
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Eprs1
pvalue,0.3567486
parameter_name,Respiration Rate
