analysis_id,50d2a28777f81nj
gene_symbol,Snrpb2
parameter_name,Vibrissae - presence
mouse_strain,C57BL
pvalue,0.9760109
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
parameter_id,JAXLA_CSD_023_001
