analysis_id,dq3616f3hg09f79
mouse_life_stage,Early adult
pvalue,0.5431859
gene_accession_id,MGI:1921802
mouse_strain,129SV
gene_symbol,Nipal3
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
