gene_symbol,Ivd
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD45+
analysis_id,wsjp2191c7y8bb3
gene_accession_id,MGI:1929242
parameter_id,MGP_MLN_067_001
pvalue,0.5137883
