analysis_id,6lfem708ag8t86y
pvalue,0.1609444
parameter_id,IMPC_XRY_065_001
parameter_name,Lumbar processes
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
mouse_strain,C57BL
mouse_life_stage,Early adult
