analysis_id,k413md77gr08l3i
gene_accession_id,MGI:1927379
parameter_id,JAX_OFD_021_001
pvalue,0.6278962
gene_symbol,Rhbg
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Number of rears - total
