analysis_id,3s5fu43ot2qnd1u
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6674564
