parameter_name,Startle response
analysis_id,912561n33230z5w
mouse_life_stage,Early adult
gene_symbol,AU040320
gene_accession_id,MGI:2140475
pvalue,0.0612133
mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
