parameter_name,Mean platelet volume
mouse_strain,C57BL
pvalue,0.430351
parameter_id,IMPC_HEM_019_001
gene_accession_id,MGI:99501
analysis_id,9isg1017o9ciwxm
gene_symbol,Fgb
mouse_life_stage,E12.5
