parameter_id,IMPC_CAL_008_001
pvalue,0.5019633
gene_symbol,Wars2
parameter_name,Total food intake
mouse_strain,C57BL
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
analysis_id,14jtdid954p2g5k
