parameter_id,MGP_BMI_006_001
analysis_id,1g4p54uf9666uvj
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_symbol,Trp53i11
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
mouse_strain,C57BL
pvalue,0.6082764
