gene_symbol,Lamb3
parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
analysis_id,c54s2vi79u4apx5
gene_accession_id,MGI:99915
parameter_id,ESLIM_011_001_702
pvalue,0.1862046
mouse_strain,C57BL
