parameter_name,HRV
gene_symbol,Amigo1
pvalue,0.4273717
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
analysis_id,o26157o8ek587c1
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
