analysis_id,81593gc50gsy721
parameter_id,MGP_MLN_021_001
mouse_strain,C57BL
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
pvalue,0.7822006
