gene_symbol,Nanp
pvalue,0.5169328
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L+ NKT cells
analysis_id,4nuljubsf22ui29
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:1914561
