analysis_id,k65pef1s2x095i6
parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
gene_symbol,Dhdds
pvalue,0.4974863
gene_accession_id,MGI:1914672
parameter_name,Alanine aminotransferase
mouse_life_stage,Early adult
