gene_symbol,Sfpq
pvalue,0.1621114
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
analysis_id,i72ef1ly94sk194
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
