parameter_id,MGP_PBI_018_001
gene_accession_id,MGI:1917604
parameter_name,Ly6Clow monocyte percentage
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
pvalue,0.6625075
analysis_id,fhg6488oj4z2214
mouse_strain,C57BL
