analysis_id,9m270dq3s2mjh69
parameter_name,Liver weight
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.483792
mouse_life_stage,E18.5
gene_symbol,Lpgat1
parameter_id,UCD_OWT_008_001
