parameter_name,Percent time in light
analysis_id,38e3749k678640b
mouse_life_stage,Early adult
gene_symbol,Car13
gene_accession_id,MGI:1931322
pvalue,0.9360498
parameter_id,JAX_LDT_009_001
mouse_strain,C57BL
