gene_symbol,Ift74
parameter_id,JAX_LDT_004_001
analysis_id,7yqh1i74r15a1km
mouse_strain,C57BL
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
pvalue,0.6501651
parameter_name,Dark side time spent
