parameter_id,CCP_LFO_001_001
parameter_name,Weight
gene_symbol,Cisd2
analysis_id,gpg0i8t9659g6ax
gene_accession_id,MGI:1914256
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6379256
