analysis_id,n21sy9oh64p5883
parameter_id,IMPC_EYE_017_001
parameter_name,Lens Opacity
pvalue,0.9206555
gene_accession_id,MGI:1336200
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
