gene_symbol,Duoxa2
mouse_life_stage,Early adult
analysis_id,8l71837834k3hb3
mouse_strain,C57BL
parameter_name,Skull shape
gene_accession_id,MGI:1914061
parameter_id,IMPC_XRY_001_001
pvalue,5.562073e-23
