analysis_id,0yfx3s0o2f1839f
pvalue,0.2771108
gene_symbol,Car13
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
parameter_name,Number of centre entries
