parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.07095335
gene_accession_id,MGI:1914672
analysis_id,ry0c0f5rfkv0j37
gene_symbol,Dhdds
parameter_id,ESLIM_011_001_702
